Paper#Ref;Summarization_Design_Factors > Aggregation;Summarization_Design_Factors > Subsampling;Summarization_Design_Factors > Filtering;Summarization_Design_Factors > Projection;Summarization_Design_Factors > unsicher;Spatial Arrangement > None / fixed;Spatial Arrangement > Single Attribute;Spatial Arrangement > Two Attributes;Spatial Arrangement > More Attributes;Spatial Arrangement > Geography;Spatial Arrangement > Topology;Spatial Arrangement > Unsicher;Goal > Explore;Goal > Confirm;Goal > Present;Goal > Produce;Goal > Nothing found;Interactions_Toward_a_Deeper_Understanding > Select;Interactions_Toward_a_Deeper_Understanding > Explore / Navigate;Interactions_Toward_a_Deeper_Understanding > Reconfigure;Interactions_Toward_a_Deeper_Understanding > Encode;Interactions_Toward_a_Deeper_Understanding > Abstract/Elaborate;Interactions_Toward_a_Deeper_Understanding > Filter;Interactions_Toward_a_Deeper_Understanding > Connect;Interactions_Toward_a_Deeper_Understanding > unsicher;Unnamed: 26
Visualizing multimodal image collections#http://zotero.org/groups/3431/items/V7VMZ3FL;3;0;3;3;0;5;0;0;0;0;5;0;7;0;0;0;0;6;0;0;0;6;0;6;6;
Multimodal latent topic analysis for image collection summarization#http://zotero.org/groups/3431/items/6N94DJ5E;3;0;3;3;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;
Real-time visual navigation in huge image sets using similarity graphs#http://zotero.org/groups/3431/items/T9UJYMHW;3;0;3;3;0;0;0;0;0;0;5;0;7;0;0;0;0;0;6;0;0;6;0;6;0;
Generating summaries for photographic images based on human affects#http://zotero.org/groups/3431/items/HJ264SP4;3;0;3;0;3;5;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;
Generating visual story graphs with application to photo album summarization#http://zotero.org/groups/3431/items/CMMBXLJF;3;0;3;0;3;0;5;0;0;5;5;0;0;0;7;0;0;0;0;0;0;0;0;0;0;
A summarized photo visualization system with maximal clique finding algorithm#http://zotero.org/groups/3431/items/VUKTFF64;3;0;3;0;0;5;5;0;0;0;5;0;7;0;7;0;0;0;0;0;0;0;6;0;0;
Comparing Personal Image Collections with PICTuReVis#http://zotero.org/groups/3431/items/EEELP2V2;3;0;3;0;0;5;0;5;0;0;0;0;7;7;0;0;0;6;0;0;0;0;6;0;0;
PRISM: Concept-preserving social image search results summarization#http://zotero.org/groups/3431/items/IA8E5FHA;3;0;3;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;6;
Album Quickview in Comic-like Layout via Quartet Analysis#http://zotero.org/groups/3431/items/UXVFXIU4;3;0;3;0;0;0;0;0;0;0;0;5;0;0;7;0;0;0;0;0;0;0;0;0;0;
Story Albums: Creating Fictional Stories From Personal Photograph Sets#http://zotero.org/groups/3431/items/5YR9NTR2;3;0;3;0;0;0;0;0;0;0;0;5;0;0;7;0;0;0;0;0;0;0;0;0;0;
A kernel-based framework for image collection exploration#http://zotero.org/groups/3431/items/5TRRFRRV;3;0;0;3;0;0;0;0;5;0;0;0;7;0;0;0;0;6;6;0;0;0;6;0;0;
Learning crowdsourced user preferences for visual summarization of image collections#http://zotero.org/groups/3431/items/PECZIRJ3;3;0;0;0;3;5;5;0;0;0;0;5;0;0;0;0;7;0;0;0;0;0;0;0;0;
Similarity-based visualization of large image collections#http://zotero.org/groups/3431/items/FF2IHK9E;3;0;0;0;3;0;5;0;0;0;5;0;7;0;0;0;0;6;0;0;0;6;6;0;6;
ClusterTag: Interactive visualization, clustering and tagging tool for big image collections#http://zotero.org/groups/3431/items/C5YEJ2YL;3;0;0;0;3;0;0;0;5;0;0;0;7;0;0;7;0;6;6;6;6;6;0;0;0;
ARIES: Enabling visual exploration and organization of art image collections#http://zotero.org/groups/3431/items/W32DLE9P;3;0;0;0;0;5;5;0;0;5;0;0;7;0;0;7;0;6;0;6;0;6;0;0;0;
An Approach to Generate a Caption for an Image Collection Using Scene Graph Generation#http://zotero.org/groups/3431/items/HPDC5VZ6;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;
II-20: Intelligent and pragmatic analytic categorization of image collections#http://zotero.org/groups/3431/items/PRYCUTRS;3;0;0;0;0;0;5;0;0;0;0;0;7;0;0;7;0;0;0;0;0;0;0;0;6;
A joint optimization model for image summarization based on image content and tags#http://zotero.org/groups/3431/items/25TPE85J;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Image Collage on Arbitrary Shape via Shape-Aware Slicing and Optimization#http://zotero.org/groups/3431/items/P4DWR7LL;0;0;0;0;3;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;6;
Towards Captioning an Image Collection from a Combined Scene Graph Representation Approach#http://zotero.org/groups/3431/items/SXEI9VD3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
